frame_idx,elapsed_s,fps,avg_fps,num_objetos,target_id,target_label,target_color,target_status,target_matches,target_inliers,target_inlier_ratio,dx_px,dy_px,zona_central,cmd_gpio,capture_path
99,47.6432,2.1555,2.3990,1,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
100,48.1092,2.1457,2.3964,1,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
101,48.5857,2.0986,2.3935,1,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
102,49.0600,2.1086,2.3907,1,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
103,49.5105,2.2198,2.3890,1,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
104,49.9769,2.1439,2.3867,1,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
105,50.4444,2.1389,2.3843,1,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
106,50.9087,2.1537,2.3821,1,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
107,51.3779,2.1315,2.3798,1,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
108,51.8440,2.1456,2.3776,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
109,52.3085,2.1528,2.3756,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
110,52.7772,2.1335,2.3734,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
111,53.2415,2.1540,2.3714,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
112,53.7092,2.1378,2.3693,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
113,54.1765,2.1402,2.3673,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
114,54.6554,2.0879,2.3648,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
115,55.1091,2.2040,2.3634,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
116,55.5767,2.1387,2.3615,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
117,56.0445,2.1378,2.3596,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
118,56.5416,2.0114,2.3566,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
119,56.9769,2.2972,2.3561,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
120,57.4609,2.0665,2.3537,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
121,57.9108,2.2225,2.3526,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
122,58.3782,2.1394,2.3509,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
123,58.8461,2.1374,2.3491,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
124,59.3104,2.1539,2.3476,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
125,59.7792,2.1329,2.3459,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
126,60.2518,2.1161,2.3440,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
127,60.7112,2.1765,2.3427,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
128,61.1823,2.1227,2.3410,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
129,61.6701,2.0501,2.3387,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
130,62.1144,2.2507,2.3381,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
131,62.5805,2.1453,2.3366,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
132,63.0619,2.0774,2.3346,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
133,63.5150,2.2072,2.3337,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
134,63.9802,2.1493,2.3323,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
135,64.4540,2.1108,2.3307,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
136,64.9173,2.1585,2.3294,0,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
